Pedigree,Individual,PITTagNum,DateSampled,LengthFork1,GenSex,Gender,FieldID1Type,FieldID1,BiosamplesID,Disposition1,FinClipStatus,Weight,RearType,ReturnLocation,UTMEast,UTMNorth,UTMZone,CWTNum,Marks,SnoutBag,CommentsGeneral,pCoastal,pRedband,lineage
OmyENIS06C_3,OmyENIS06C_3_0028,NA,6/28/2006,NA,NA,U,Vial#,ES-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0029,NA,6/28/2006,NA,NA,U,Vial#,ES-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994,0.006,coastal
OmyENIS06C_3,OmyENIS06C_3_0030,NA,6/28/2006,NA,NA,U,Vial#,ES-30,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyENIS06C_3,OmyENIS06C_3_0031,NA,6/28/2006,NA,NA,U,Vial#,ES-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993,0.007,coastal
OmyENIS06C_3,OmyENIS06C_3_0032,NA,6/28/2006,NA,NA,U,Vial#,ES-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyENIS06C_3,OmyENIS06C_3_0033,NA,6/28/2006,NA,NA,U,Vial#,ES-33,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.989,0.011,coastal
OmyENIS06C_3,OmyENIS06C_3_0034,NA,6/28/2006,NA,NA,U,Vial#,ES-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0035,NA,6/28/2006,NA,NA,U,Vial#,ES-35,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994,0.006,coastal
OmyENIS06C_3,OmyENIS06C_3_0036,NA,6/28/2006,NA,NA,U,Vial#,ES-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994,0.006,coastal
OmyENIS06C_3,OmyENIS06C_3_0037,NA,6/28/2006,NA,NA,U,Vial#,ES-37,NA,NA,NoEthanol/Soft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0038,NA,6/28/2006,NA,NA,U,Vial#,ES-38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyENIS06C_3,OmyENIS06C_3_0039,NA,6/28/2006,NA,NA,U,Vial#,ES-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.005,coastal
OmyENIS06C_3,OmyENIS06C_3_0040,NA,6/28/2006,NA,NA,U,Vial#,ES-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyENIS06C_3,OmyENIS06C_3_0041,NA,6/28/2006,NA,NA,U,Vial#,ES-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyENIS06C_3,OmyENIS06C_3_0042,NA,6/28/2006,NA,NA,U,Vial#,ES-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0043,NA,6/28/2006,NA,NA,U,Vial#,ES-43,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyENIS06C_3,OmyENIS06C_3_0044,NA,6/28/2006,NA,NA,U,Vial#,ES-44,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyENIS06C_3,OmyENIS06C_3_0045,NA,6/28/2006,NA,NA,U,Vial#,ES-45,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0046,NA,6/28/2006,NA,NA,U,Vial#,ES-46,NA,NA,NoEthanol/Soft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994,0.006,coastal
OmyENIS06C_3,OmyENIS06C_3_0047,NA,6/28/2006,NA,NA,U,Vial#,ES-47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.989,0.011,coastal
OmyHAYS05C,OmyHAYS05C_0001,NA,7/27/2005,NA,NA,M,Vial#,1,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.005,coastal
OmyHAYS05C,OmyHAYS05C_0002,NA,7/27/2005,NA,NA,M,Vial#,2,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.998,0.002,coastal
OmyHAYS05C,OmyHAYS05C_0003,NA,7/27/2005,NA,NA,F,Vial#,3,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.963,0.037,coastal
OmyHAYS05C,OmyHAYS05C_0005,NA,7/27/2005,NA,NA,F,Vial#,5,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyHAYS05C,OmyHAYS05C_0006,NA,7/27/2005,NA,NA,M,Vial#,6,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.998,0.002,coastal
OmyHAYS05C,OmyHAYS05C_0007,NA,7/27/2005,NA,NA,M,Vial#,7,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.994,0.006,coastal
OmyHAYS05C,OmyHAYS05C_0008,NA,7/27/2005,NA,NA,M,Vial#,8,NA,NA,NoEthanol/Soft,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.991,0.009,coastal
OmyHAYS05C,OmyHAYS05C_0009,NA,7/27/2005,NA,NA,F,Vial#,9,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.005,coastal
OmyHAYS05C,OmyHAYS05C_0010,NA,7/27/2005,NA,NA,M,Vial#,10,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyHAYS05C,OmyHAYS05C_0011,NA,7/27/2005,NA,NA,M,Vial#,11,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.992,0.008,coastal
OmyHAYS05C,OmyHAYS05C_0012,NA,7/27/2005,NA,NA,F,Vial#,12,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyHAYS05C,OmyHAYS05C_0013,NA,7/27/2005,NA,NA,M,Vial#,13,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyHAYS05C,OmyHAYS05C_0014,NA,7/27/2005,NA,NA,F,Vial#,14,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyHAYS05C,OmyHAYS05C_0015,NA,7/27/2005,NA,NA,M,Vial#,15,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.994,0.006,coastal
OmyHAYS05C,OmyHAYS05C_0016,NA,7/27/2005,NA,NA,M,Vial#,16,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.005,coastal
OmyHAYS05C,OmyHAYS05C_0017,NA,7/27/2005,NA,NA,M,Vial#,17,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.994,0.006,coastal
OmyHAYS05C,OmyHAYS05C_0018,NA,7/27/2005,NA,NA,M,Vial#,18,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyHAYS05C,OmyHAYS05C_0019,NA,7/27/2005,NA,NA,M,Vial#,19,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyHAYS05C,OmyHAYS05C_0020,NA,7/27/2005,NA,NA,M,Vial#,20,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.993,0.007,coastal
OmyHAYS05C,OmyHAYS05C_0021,NA,7/27/2005,NA,NA,M,Vial#,21,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyHAYS05C,OmyHAYS05C_0022,NA,7/27/2005,NA,NA,F,Vial#,22,NA,NA,SampleUsedUp,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyHAYS05C,OmyHAYS05C_0023,NA,7/27/2005,NA,NA,F,Vial#,23,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyHAYS05C,OmyHAYS05C_0024,NA,7/27/2005,NA,NA,M,Vial#,24,NA,NA,NoEthanol/Dry,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyBIGC00C,OmyBIGC00C_0001,NA,NA,NA,NA,U,Vial#,00-1680,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.994,redband
OmyBIGC00C,OmyBIGC00C_0002,NA,NA,NA,NA,U,Vial#,00-1681,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.996,redband
OmyBIGC00C,OmyBIGC00C_0003,NA,NA,NA,NA,U,Vial#,00-1683,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.997,redband
OmyBIGC00C,OmyBIGC00C_0004,NA,NA,NA,NA,U,Vial#,00-1684,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.992,redband
OmyBIGC00C,OmyBIGC00C_0005,NA,NA,NA,NA,U,Vial#,00-1685,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.992,redband
OmyBIGC00C,OmyBIGC00C_0006,NA,NA,NA,NA,U,Vial#,00-1686,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.993,redband
OmyBIGC00C,OmyBIGC00C_0007,NA,NA,NA,NA,U,Vial#,00-1687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,0.982,redband
OmyBIGC00C,OmyBIGC00C_0008,NA,NA,NA,NA,U,Vial#,00-1688,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.997,redband
OmyBIGC00C,OmyBIGC00C_0009,NA,NA,NA,NA,U,Vial#,00-1689,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.994,redband
OmyBIGC00C,OmyBIGC00C_0010,NA,NA,NA,NA,U,Vial#,00-1690,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.997,redband
OmyBIGC00C,OmyBIGC00C_0011,NA,NA,NA,NA,U,Vial#,00-1691,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.993,redband
OmyBIGC00C,OmyBIGC00C_0012,NA,NA,NA,NA,U,Vial#,00-1692,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.993,redband
OmyBIGC00C,OmyBIGC00C_0013,NA,NA,NA,NA,U,Vial#,00-1693,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.992,redband
OmyBIGC00C,OmyBIGC00C_0014,NA,NA,NA,NA,U,Vial#,00-1695,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.99,redband
OmyBIGC00C,OmyBIGC00C_0015,NA,NA,NA,NA,U,Vial#,00-1696,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
OmyBIGC00C,OmyBIGC00C_0016,NA,NA,NA,NA,U,Vial#,00-1697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.993,redband
OmyBIGC00C,OmyBIGC00C_0017,NA,NA,NA,NA,U,Vial#,00-1698,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.996,redband
OmyBIGC00C,OmyBIGC00C_0018,NA,NA,NA,NA,U,Vial#,00-1699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.996,redband
OmyBIGC00C,OmyBIGC00C_0019,NA,NA,NA,NA,U,Vial#,00-1702,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
OmyBIGC00C,OmyBIGC00C_0020,NA,NA,NA,NA,U,Vial#,00-1703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
OmyBIGC00C,OmyBIGC00C_0021,NA,NA,NA,NA,U,Vial#,00-1706,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.994,redband
OmyBIGC00C,OmyBIGC00C_0022,NA,NA,NA,NA,U,Vial#,00-1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.997,redband
OmyBIGC00C,OmyBIGC00C_0023,NA,NA,NA,NA,U,Vial#,00-1708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.994,redband
OmyBIGC00C,OmyBIGC00C_0024,NA,NA,NA,NA,U,Vial#,00-1709,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.997,redband
OmyBIGC00C,OmyBIGC00C_0025,NA,NA,NA,NA,U,Vial#,00-1711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
OmyBIGC00C,OmyBIGC00C_0026,NA,NA,NA,NA,U,Vial#,00-1713,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.992,redband
OmyBIGC00C,OmyBIGC00C_0027,NA,NA,NA,NA,U,Vial#,00-1715,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.994,redband
OmyBIGC00C,OmyBIGC00C_0028,NA,NA,NA,NA,U,Vial#,00-1721,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
OmyBIGC00C,OmyBIGC00C_0029,NA,NA,NA,NA,U,Vial#,00-1722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.975,redband
OmyBIGC00C,OmyBIGC00C_0030,NA,NA,NA,NA,U,Vial#,00-1725,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.997,redband
OmyBIGC00C,OmyBIGC00C_0031,NA,NA,NA,NA,U,Vial#,00-1728,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.994,redband
OmyBIGC00C,OmyBIGC00C_0032,NA,NA,NA,NA,U,Vial#,00-1729,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
OmyBIGC00C,OmyBIGC00C_0033,NA,NA,NA,NA,U,Vial#,00-1730,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.993,redband
OmyBIGC00C,OmyBIGC00C_0034,NA,NA,NA,NA,U,Vial#,00-1731,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
OmyBIGC00C,OmyBIGC00C_0035,NA,NA,NA,NA,U,Vial#,00-1732,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.993,redband
OmyBIGC00C,OmyBIGC00C_0036,NA,NA,NA,NA,U,Vial#,00-1733,NA,NA,NoEthanol/Soft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.993,redband
OmyBIGC00C,OmyBIGC00C_0037,NA,NA,NA,NA,U,Vial#,00-1734,NA,NA,NoEthanol/Soft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.996,redband
OmyBIGC00C,OmyBIGC00C_0038,NA,NA,NA,NA,U,Vial#,00-1735,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.996,redband
OmyBIGC00C,OmyBIGC00C_0039,NA,NA,NA,NA,U,Vial#,00-1737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.994,redband
OmyBIGC00C,OmyBIGC00C_0040,NA,NA,NA,NA,U,Vial#,00-1739,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.993,redband
OmyBIGC00C,OmyBIGC00C_0041,NA,NA,NA,NA,U,Vial#,00-1740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.994,redband
OmyBIGC00C,OmyBIGC00C_0042,NA,NA,NA,NA,U,Vial#,00-1742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
OmyBIGC00C,OmyBIGC00C_0043,NA,NA,NA,NA,U,Vial#,00-1743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
OmyBIGC00C,OmyBIGC00C_0044,NA,NA,NA,NA,U,Vial#,00-1744,NA,NA,SampleUsedUp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.997,redband
OmyBIGC00C,OmyBIGC00C_0045,NA,NA,NA,NA,U,Vial#,00-1745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.992,redband
OmyBIGC00C,OmyBIGC00C_0046,NA,NA,NA,NA,U,Vial#,00-1746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.996,redband
OmyBIGC00C,OmyBIGC00C_0047,NA,NA,NA,NA,U,Vial#,00-1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,0.991,redband
OmyFILW11S,OmyFILW11S_0001,NA,3/17/2011,650,NA,M,GEN#,2,11-41002,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.992,redband
OmyFILW11S,OmyFILW11S_0005,NA,3/25/2011,850,NA,M,GEN#,8,11-41008,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
OmyFILW11S,OmyFILW11S_0009,NA,4/6/2011,810,NA,M,GEN#,16,11-41016,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.997,redband
OmyFILW11S,OmyFILW11S_0013,NA,4/10/2011,800,NA,M,GEN#,27,11-41027,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.992,redband
OmyFILW11S,OmyFILW11S_0017,NA,4/16/2011,760,NA,M,GEN#,40,11-41040,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.992,redband
OmyFILW11S,OmyFILW11S_0021,3D9.1BF26C1F88,4/20/2011,860,NA,M,GEN#,49,11-41049,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.996,redband
OmyFILW11S,OmyFILW11S_0025,3D9.1BF26BB8A1,4/26/2011,890,NA,M,GEN#,69,11-41069,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.996,redband
OmyFILW11S,OmyFILW11S_0029,NA,5/3/2011,760,NA,M,GEN#,81,11-41081,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.993,redband
OmyFILW11S,OmyFILW11S_0033,NA,5/4/2011,850,NA,M,GEN#,93,11-41093,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.997,redband
OmyFILW11S,OmyFILW11S_0037,3D9.1C2D580DB3,5/8/2011,820,NA,M,GEN#,122,11-41122,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
OmyFILW11S,OmyFILW11S_0041,NA,6/25/2011,830,NA,M,GEN#,150,11-41150,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.996,redband
OmyFILW11S,OmyFILW11S_0045,3D9.1BF26BA586,7/9/2011,770,NA,M,GEN#,K112,11-41223,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.009,0.991,redband
OmyFILW11S,OmyFILW11S_0049,NA,3/28/2011,800,NA,F,GEN#,10,11-41010,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.997,redband
OmyFILW11S,OmyFILW11S_0053,NA,4/6/2011,780,NA,F,GEN#,17,11-41017,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.996,redband
OmyFILW11S,OmyFILW11S_0057,3D9.1BF26BF2C1,4/9/2011,740,NA,F,GEN#,23,11-41023,NA,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.995,redband
